L1_size,L2_size,L3_size,L1_device,L2_device,L3_device,L1_device_read_latency_(ms),L2_device_read_latency_(ms),L3_device_read_latency_(ms),L1_device_write_latency_(ms),L2_device_write_latency_(ms),L3_device_write_latency_(ms),L1_device_capacity_(GB),L2_device_capacity_(GB),L3_device_capacity_(GB),L1_device_purchase_cost_($),L2_device_purchase_cost_($),L3_device_purchase_cost_($),L1_algorithm,L2_algorithm,write_policy,total_read_latency_(ms),total_write_latency_(ms),total_purchase_cost_($),avg_latency_(ms),avg_throughput_(KB/s),workload,read_requests,write_requests,total_requests,unique_reads,unique_writes,unique_requests,percent_reads,percent_writes,percent_unique_reads,percent_unique_writes,percent_unique_requests,compound miss ratio
1030800,114600,2176200,D2,H1,H2,1.4099999999999999e-05,7.64,2.8569999999999998,1.4099999999999999e-05,4.28,12.243,16000000000,10000000000000,1000000000000,88.97,334.76,72.99,lru,lru,wb-s,5.829473891863764,0.698678646982861,24.1441564164096,0.9562510136771114,4283.394152179229,w96,8456,159986,168442,5271,17954,23225,5.02,94.98,62.33,11.22,13.79,0.1550444663444984
10276000,24661000,39047000,D3,H3,H1,1.4300000000000002e-05,2.555,7.64,1.4300000000000002e-05,11.171,4.28,16000000000,4000000000000,10000000000000,77.87,109.99,334.76,arc,arc,wb-s,1.8538268170940573,3.472695989348213,212.980779907072,2.5140823481685013,1629.2226875479712,w13,212062,146060,358122,38813,9333,48146,59.22,40.78,18.3,6.39,13.44,0.1221343564483611
14386000,6166000,39047000,D1,S2,H1,1.3800000000000002e-05,0.675,7.64,1.3800000000000002e-05,6.814,4.28,16000000000,4000000000000,10000000000000,105.0,498.26,334.76,lru,arc,wb-s,1.8148985506861202,2.5507662493139804,395.19572034355207,2.1150220730097566,1936.622814612633,w13,212062,146060,358122,38813,9333,48146,59.22,40.78,18.3,6.39,13.44,0.1526742283355951
5289800,7493800,8375500,D1,H1,S1,1.3800000000000002e-05,7.64,0.6629999999999999,1.3800000000000002e-05,4.28,7.935,16000000000,10000000000000,4000000000000,105.0,334.76,451.58,lru,lru,wb-s,6.534206322020491,7.230207746043607,147.09033787924486,6.76695933903021,605.2940168230725,w55,100134,50311,150445,80740,6086,86826,66.56,33.44,80.63,12.1,57.71,0.5635880222008043
2993700,3492600,4740000,D1,S1,H3,1.3800000000000002e-05,0.6629999999999999,2.555,1.3800000000000002e-05,7.935,11.171,16000000000,4000000000000,4000000000000,105.0,451.58,109.99,arc,arc,wb-s,0.381562502281063,2.756527148193655,82.61956188979201,1.1438495226609673,3580.8905969304133,w42,542028,256208,798236,44803,26513,71316,67.9,32.1,8.27,10.35,8.93,0.089315691098873
1240640,1008020,1473260,D3,S2,S3,1.4300000000000002e-05,0.675,0.39399999999999996,1.4300000000000002e-05,6.814,7.1,16000000000,4000000000000,1000000000000,77.87,498.26,119.99,lru,lru,wb-s,0.43118041493364095,2.122454974552297,25.970197621555204,1.4844485361370072,2759.2738315193164,w103,331078,546568,877646,130727,23173,153900,37.72,62.28,39.49,4.24,17.54,0.1939791214225325
3945800,9019000,10710100,D1,S1,H3,1.3800000000000002e-05,0.6629999999999999,2.555,1.3800000000000002e-05,7.935,11.171,16000000000,4000000000000,4000000000000,105.0,451.58,109.99,arc,lru,wb-s,0.4680206799054218,8.89151119995303,111.439927213056,2.041600589776976,2006.2690129059213,w29,426314,97934,524248,61770,61823,123593,81.32,18.68,14.49,63.13,23.58,0.2043116998061986
5212000,8687000,33010000,D2,S3,S1,1.4099999999999999e-05,0.39399999999999996,0.6629999999999999,1.4099999999999999e-05,7.1,7.935,16000000000,1000000000000,4000000000000,88.97,119.99,451.58,arc,lru,wb-s,0.3865992310016153,11.349270513285427,138.24407379968002,2.3282280245223967,1759.2778528813722,w07,174578,37575,212153,32931,1937,34868,82.29,17.71,18.86,5.16,16.44,0.2825413734427512
2481900,1861400,2947300,D1,H3,H1,1.3800000000000002e-05,2.555,7.64,1.3800000000000002e-05,11.171,4.28,16000000000,4000000000000,10000000000000,105.0,109.99,334.76,arc,arc,wb-s,1.6054490594161248,2.82478499234656,67.32724802068482,2.122887468256473,1929.447538434076,w77,158664,116967,275631,27843,9029,36872,57.56,42.44,17.55,7.72,13.38,0.1072811113408869
37500,673700,711200,D2,S2,H3,1.4099999999999999e-05,0.675,2.555,1.4099999999999999e-05,6.814,11.171,16000000000,4000000000000,4000000000000,88.97,498.26,109.99,arc,lru,wb-s,0.6841922921053504,1.4298299709183049,1.2779483135999998,1.160262842719068,3530.234572022537,w67,60446,106751,167197,4630,3779,8409,36.15,63.85,7.66,3.54,5.03,0.042608420007536
4275100,534400,10153300,D2,H1,H3,1.4099999999999999e-05,7.64,2.555,1.4099999999999999e-05,4.28,11.171,16000000000,10000000000000,4000000000000,88.97,334.76,109.99,lru,arc,wb-s,1.5590042028405318,4.349967132337094,98.5878850709504,2.146001926177859,1908.66557482322,w27,382534,101883,484417,59389,62434,121823,78.97,21.03,15.53,61.28,25.15,0.2137579812434328
1800700,643100,2443800,D2,S2,H3,1.4099999999999999e-05,0.675,2.555,1.4099999999999999e-05,6.814,11.171,16000000000,4000000000000,4000000000000,88.97,498.26,109.99,arc,arc,wb-s,0.1882221164878118,0.3371282484525009,41.616685381631996,0.3221118673279868,12716.079149698926,w70,56284,501842,558126,7319,22711,30030,10.08,89.92,13.0,4.53,5.38,0.0441119030469822
367600,183800,3491900,D1,S2,S1,1.3800000000000002e-05,0.675,0.6629999999999999,1.3800000000000002e-05,6.814,7.935,16000000000,4000000000000,4000000000000,105.0,498.26,451.58,lru,arc,wb-s,1.133053773997164,118.00922250953494,11.58958324736,6.679215793847418,613.2456453604992,w90,466103,23220,489323,33454,6544,39998,95.25,4.75,7.18,28.18,8.17,0.8218129946885799
365000,182500,1155800,D2,H1,S3,1.4099999999999999e-05,7.64,0.39399999999999996,1.4099999999999999e-05,4.28,7.1,16000000000,10000000000000,1000000000000,88.97,334.76,119.99,lru,arc,wb-s,1.3534928472035794,1.135137900622754,8.906432253952003,1.2422404974550336,3297.268128346674,w95,74202,77077,151279,9668,4550,14218,49.05,50.95,13.03,5.9,9.4,0.1264484826049881
8607700,4782100,18171700,D3,S2,H3,1.4300000000000002e-05,0.675,2.555,1.4300000000000002e-05,6.814,11.171,16000000000,4000000000000,4000000000000,77.87,498.26,109.99,lru,lru,wb-s,3.1838254668757844,10.45282049281308,176.078678199296,7.220393246541729,567.2821216436952,w86,108392,135357,243749,106912,75430,182342,44.47,55.53,98.63,55.73,74.81,0.8518599050662772
128830000,122050000,128830000,D1,S2,H1,1.3800000000000002e-05,0.675,7.64,1.3800000000000002e-05,6.814,4.28,16000000000,4000000000000,10000000000000,105.0,498.26,334.76,arc,arc,wb-s,0.8612568045626292,7.072598588704479,3542.887408967679,1.4798591589674874,2767.830962277397,w10,112216,12412,124628,12823,5354,18177,90.04,9.96,11.43,43.14,14.59,0.1033716339827326
16466000,7319000,34762000,D2,S1,H2,1.4099999999999999e-05,0.6629999999999999,2.8569999999999998,1.4099999999999999e-05,7.935,12.243,16000000000,4000000000000,1000000000000,88.97,451.58,72.99,lru,lru,wb-s,0.0888765179591283,6.835929489306003,388.81201412096,0.8576729940193283,4775.7129215469895,w25,324381,41715,366096,30889,27113,58002,88.61,11.39,9.52,65.0,15.84,0.0981627769765307
104004000,52002000,109782000,D1,H2,H1,1.3800000000000002e-05,2.8569999999999998,7.64,1.3800000000000002e-05,12.243,4.28,16000000000,1000000000000,10000000000000,105.0,72.99,334.76,lru,arc,wb-s,6.968562063261999,61.95442430872737,2826.227458916352,13.586786369998864,301.4693753516596,w53,162287,22206,184493,107669,8891,116560,87.96,12.04,66.34,40.04,63.18,0.6090800192961251
613500,223100,1059700,D1,H3,H2,1.3800000000000002e-05,2.555,2.8569999999999998,1.3800000000000002e-05,11.171,12.243,16000000000,4000000000000,1000000000000,105.0,109.99,72.99,lru,lru,wb-s,3.5927125330899727,0.143857623351486,16.832823071744002,0.1772310610523822,23111.07305727516,w39,9314,953207,962521,5361,7217,12578,0.97,99.03,57.56,0.76,1.31,0.0127519295682899
69000,413500,1309300,D2,H3,H1,1.4099999999999999e-05,2.555,7.64,1.4099999999999999e-05,11.171,4.28,16000000000,4000000000000,10000000000000,88.97,109.99,334.76,lru,arc,wb-s,9.019298814119024,1.9109206169805248,1.7976666851327996,2.0789483789277123,1970.2268904399882,w40,4285,176991,181276,3418,10520,13938,2.36,97.64,79.77,5.94,7.69,0.0925936141574174
80520000,138040000,218560000,D1,H3,H2,1.3800000000000002e-05,2.555,2.8569999999999998,1.3800000000000002e-05,11.171,12.243,16000000000,4000000000000,1000000000000,105.0,109.99,72.99,arc,lru,wb-s,3.402350013168425,21.733975830703372,2245.2672483328,7.813481543157714,524.222138028454,w03,131952,41813,173765,21497,7671,29168,75.94,24.06,16.29,18.35,16.79,0.4621068684717865
10000,140000,2630000,D3,S3,H2,1.4300000000000002e-05,0.39399999999999996,2.8569999999999998,1.4300000000000002e-05,7.1,12.243,16000000000,1000000000000,1000000000000,77.87,119.99,72.99,arc,arc,wb-s,2.9278173775664285,398.9940024659074,1.0544375808000002,9.214232590356039,444.52969466898713,w02,176958,2854,179812,255,20,275,98.41,1.59,0.14,0.7,0.15,0.8813983493871377
20206000,101026000,127966000,D3,H3,H2,1.4300000000000002e-05,2.555,2.8569999999999998,1.4300000000000002e-05,11.171,12.243,16000000000,4000000000000,1000000000000,77.87,109.99,72.99,lru,arc,wb-s,4.293410292455148,27.69106225031439,452.43710269440004,10.003961267890292,409.4378107147343,w14,569925,184009,753934,126298,42062,168360,75.59,24.41,22.16,22.86,22.33,0.585992938373916
160011000,58186000,276383000,D2,S3,H2,1.4099999999999999e-05,0.39399999999999996,2.8569999999999998,1.4099999999999999e-05,7.1,12.243,16000000000,1000000000000,1000000000000,88.97,119.99,72.99,arc,lru,wb-s,1.4235025600470723,18.393278132598574,3755.68834635776,5.0682342482512315,808.171011711486,w54,554465,151660,706125,258079,151299,409378,78.52,21.48,46.55,99.76,57.98,0.5564029031687024
